LEMMA|POS	LEMMA	POS	FREQUENCY	INFLECTIONS
be|v	be	v	318018	be, am, are, been, being, is, was, were
I|fw	I	fw	267578	I
you|fw	you	fw	248266	you
the|fw	the	fw	176446	the
a|fw	a	fw	152598	a, an
to|fw	to	fw	151270	to
it|fw	it	fw	117091	it
not|fw	not	fw	109143	not
that|fw	that	fw	95271	that, those
and|fw	and	fw	90049	and
of|fw	of	fw	70505	of
do|v	do	v	67643	do, did, does, doing, done
have|v	have	v	62828	have, had, has, having
what|fw	what	fw	62015	what
we|fw	we	fw	61381	we
in|fw	in	fw	58486	in
get|v	get	v	56906	get, gets, getting, got, gotten
this|fw	this	fw	56116	this, these
my|fw	my	fw	53316	my, mine
me|fw	me	fw	51927	me
go|v	go	v	51445	go, goes, going, gone, went
can|v	can	v	46947	can, could, cannot
no|fw	no	fw	43447	no
on|fw	on	fw	43007	on
for|fw	for	fw	42850	for
know|v	know	v	40007	know, knew, knowing, known, knows
just|r	just	r	39366	just
your|fw	your	fw	39164	your
all|fw	all	fw	35728	all
so|r	so	r	35491	so
with|fw	with	fw	34115	with
he|fw	he	fw	33653	he
but|fw	but	fw	30070	but
yeah|r	yeah	r	28499	yeah
well|r	well	r	28025	well
think|v	think	v	25894	think, thinking, thinks, thought
here|r	here	r	25170	here
want|v	want	v	24829	want, wanted, wanting, wants
out|r	out	r	24533	out
about|fw	about	fw	23244	about
good|j	good	j	22907	good, better, best
come|v	come	v	22535	come, came, comes, coming
up|r	up	r	22171	up
say|v	say	v	21603	say, said, saying, says
now|r	now	r	21312	now
at|fw	at	fw	21243	at
one|m	one	m	21176	one, ones
hey|u	hey	u	21166	hey
they|fw	they	fw	21051	they
see|v	see	v	20925	see, saw, seeing, seen, sees
if|fw	if	fw	19770	if
how|r	how	r	19474	how
like|v	like	v	19165	like, liked, likes, liking
she|fw	she	fw	19043	she
look|v	look	v	18129	look, looked, looking, looks
make|v	make	v	17038	make, made, makes, making
right|j	right	j	16390	right
guy|n	guy	n	15738	guy, guys
take|v	take	v	15582	take, taken, takes, taking, took
let|v	let	v	15257	let, lets, letting
really|r	really	r	15209	really
okay|r	okay	r	14801	okay
her|fw	her	fw	14759	her
uh|u	uh	u	14667	uh, um
tell|v	tell	v	14661	tell, telling, tells, told
him|fw	him	fw	14270	him
why|r	why	r	14194	why
there|r	there	r	14067	there
who|fw	who	fw	13916	who
time|n	time	n	13834	time, times
thing|n	thing	n	12547	thing, things
from|fw	from	fw	12409	from
will|v	will	v	11923	will, willing, would
like|r	like	r	11556	like
when|r	when	r	11544	when
as|fw	as	fw	11415	as
because|fw	because	fw	11396	because
some|fw	some	fw	11370	some
our|fw	our	fw	11333	our
yes|r	yes	r	11118	yes
there|fw	there	fw	11044	there
back|r	back	r	10865	back
